ID Item;REF;DESCRPCION;Unidad
5631;"65512 MONROE /17306 W&CH-15"" /502.705 SAMPA /     ";"AMORTIGUADOR SUSP. TA-300T15"" W&CH";UND 
286;S-24023-HENDRICSON - 65416 MONROE - 85000L GABRIEL;AMORTIGUADOR SUSP.INTRAAX AAT-30K NORMAL;UND 
8;2                                                 ;ANGULO AC.CIAL.2 1/2x2 1/2x3/16;kg  
4498;164                                               ;"ANGULO AC.CIAL.2""x2""x1/4""";KG  
293;2961                                              ;"ANGULO AC.LC.1_1/2""x1_1/2""x1/8"".";kg  
2291;20214                                             ;PROGRAMADOR SIST.ABS RSS-PLUS 12204 JPRO;UND 
294;16549                                             ;"ANGULO AC.LC.1_1/2""x1_1/2""x3/16"".";kg  
10432;010432                                            ;"ANGULO AC.LC.1_1/4""x1_1/4""x3/16"".";kg  
296;547                                               ;"ANGULO AC.LC.2_1/2""x2_1/2""x1/4"".";kg  
942;25597                                             ;CATALIZADOR POLIURETANO D 861 PPG INDUST;Lt  
298;1294                                              ;"ANGULO AC.LC.3""x3""x1/4"".";Kg  
300;8321                                              ;"ANGULO AC.LC.4""x4""x3/8"".";kg  
307;11545                                             ;ANGULO ALUM. 76x76x6.6mm LS-354-N;m   
8840;601004 CRAMARO                                    ;ANGULO CONDUCCION IZQ. 601004 CRAMARO;UND 
8842;601031 CRAMARO                                    ;ANGULO SOPORTE EJE IZQ. 601031 CRAMARO;UND 
8841;601032 CRAMARO                                    ;ANGULO SOPORTE INT. DER. 601032 CRAMARO;UND 
8839;601033 CRAMARO                                    ;ANGULO SOPORTE INT. IZQ. 601033 CRAMARO;UND 
9887;0009887                                           ;ANILLO DE ELEVACION FL169 71813169K HYVA;UND 
8273;0008273                                           ;ANILLO DE PARADA 130Ø SOPRANO;UND 
8274;0008274                                           ;ANILLO DE PARADA 149Ø SOPRANO;UND 
8275;0008275                                           ;ANILLO DE PARADA 168Ø SOPRANO;UND 
8276;0008276                                           ;ANILLO DE PARADA 190Ø SOPRANO;UND 
8277;0008277                                           ;ANILLO DE PARADA 213Ø SOPRANO;UND 
9882;0009882                                           ;ANILLO FIN DE CARRERA EXTERNO 191FL HYVA;UND 
8067;04137.5407.40 SOPRANO                             ;ANILLO GUIA 04137.5407.40 SOPRANO;UND 
8068;04137.5707.40 SOPRANO                             ;ANILLO GUIA 04137.5707.40 SOPRANO;UND 
9883;0009883                                           ;ANILLO GUIA FL 191 71807191K HYVA;UND 
9884;0009884                                           ;ANILLO LEVANTADOR FL 191 71813191K HYVA;UND 
9885;0009885                                           ;ANILLO PARADA EXTERIOR 169FL 71811169K H;UND 
10021;01770560 HYVA                                     ;ANILLO SEGURIDAD 75 DIN 472 01770560HYVA;UND 
12210;0012210                                           ;ANILLO SEGURIDAD A-12 (11mmØINT);UND 
320;13450                                             ;ANILLO SEGURIDAD A-38(35.2mm) LEVA EJES.;UND 
9101;09101                                             ;ANILLO SEGURIDAD A-42 (38.5mmØINT);UND 
321;58                                                ;ANILLO SEGURIDAD A-42(38.5mmDI)INT.LEVA.;UND 
318;24612                                             ;ANILLO SEGURIDAD EXT.DIN471 A-55(50.8Øi);UND 
330;5915                                              ;APOYO PARAL MOVIL EN-1400100.;UND 
332;20766-013 - 10045 W&CH.                           ;"ARANDELA 1.125"" 10045 P/GRAPA W&CH.";UND 
6812;3031SL                                            ;ARANDELA ABRAZADERA 3031SL INOX.304BETTS;UND 
9650;921226275-RANDON                                  ;ARANDELA ALINEAC.INTERNA SUSP.NEU-RANON;UND 
335;3081/S-11613/S-21099/015.173 SAMPA                ;ARANDELA ESPACIADORA 015.173 SAMPA;UND 
13408;0013408                                           ;ARANDELA ESPACIADORA 015.249 SAMPA;UND 
8162;80020 TODCO                                       ;ARANDELA ESPACIDORA RODILLO 80020 TODCO;UND 
338;13186                                             ;"ARANDELA GR5 1_1/4""x60mmDEx3/16""ESP.";UND 
340;854                                               ;"ARANDELA INT.LEVA 1_5/8"" 42DIx64DEx1.2mm";UND 
344;16399                                             ;"ARANDELA PLANA 1_1/4""Ø.";UND 
348;14365                                             ;"ARANDELA PLANA AC. INOX.1/2""Ø.";UND 
9691;0009691                                           ;"ARANDELA PLANA AC.INOX.1/4""Ø.";UND 
349;67                                                ;"ARANDELA PLANA AC.INOX.3/8""Ø.";UND 
343;59                                                ;"ARANDELA PLANA GALV. 1""Ø.";UND 
347;8666                                              ;"ARANDELA PLANA GALV. 7/8""Ø.";UND 
351;2208                                              ;"ARANDELA PLANA GALV.1/2""Ø.";UND 
6578;06578                                             ;"ARANDELA PLANA GALV.1/2""Ø.REDUCIDA";UND 
